symbol,longname,price,volume,openPrice,priceChange,percentChange,dayHigh,dayLow,prevClose,__typename,raw_symbol,patched_from_null,timestamp_utc,snapshot_type
T,TELUS Corporation,18.04,5412505.0,17.93,0.16,0.894855,18.045,17.86,17.88,Quote,,,2026-04-01 20:59:32.087519+00:00,live
BNS,Bank of Nova Scotia (The),97.4,9619033.0,96.86,0.93,0.96403,97.77,96.84,96.47,Quote,,,2026-04-01 20:59:32.087519+00:00,live
RY,Royal Bank of Canada,226.93,2287127.0,226.88,2.05,0.911597,227.82,226.1,224.88,Quote,,,2026-04-01 20:59:32.087519+00:00,live
WCP,Whitecap Resources Inc.,14.61,11446954.0,15.28,-1.09,-6.942675,15.5,14.48,15.7,Quote,,,2026-04-01 20:59:32.087519+00:00,live
CNQ,Canadian Natural Resources Limited,64.64,17889980.0,66.49,-3.22,-4.745063,67.11,64.11,67.86,Quote,,,2026-04-01 20:59:32.087519+00:00,live
ENB,Enbridge Inc.,74.54,3337202.0,75.06,-0.87,-1.153693,75.25,73.93,75.41,Quote,,,2026-04-01 20:59:32.087519+00:00,live
TD,Toronto-Dominion Bank (The),131.31,6065896.0,131.0,1.39,1.069889,131.73,130.45,129.92,Quote,,,2026-04-01 20:59:32.087519+00:00,live
BCE,BCE Inc.,35.26,2551187.0,35.04,0.16,0.45584,35.37,34.89,35.1,Quote,,,2026-04-01 20:59:32.087519+00:00,live
SU,Suncor Energy Inc.,90.29,5132400.0,91.15,-1.72,-1.869362,93.08,88.91,92.01,Quote,,,2026-04-01 20:59:32.087519+00:00,live
CM,Canadian Imperial Bank Of Commerce,133.57,1361901.0,133.0,1.73,1.312197,134.25,132.83,131.84,Quote,,,2026-04-01 20:59:32.087519+00:00,live
BMO,Bank of Montreal,190.44,1891366.0,190.0,2.02,1.072073,191.66,189.62,188.42,Quote,,,2026-04-01 20:59:32.087519+00:00,live
CVE,Cenovus Energy Inc.,35.86,7168442.0,36.3,-1.06,-2.871073,36.84,35.3,36.92,Quote,,,2026-04-01 20:59:32.087519+00:00,live
MFC,Manulife Financial Corporation,48.32,3642758.0,48.18,0.4,0.834725,48.795,48.02,47.92,Quote,,,2026-04-01 20:59:32.087519+00:00,live
AC,Air Canada Voting and Variable Voting Shares,18.83,3789886.0,18.27,0.71,3.918322,18.95,18.27,18.12,Quote,,,2026-04-01 20:59:32.087519+00:00,live
BTE,Baytex Energy Corp.,5.86,10315360.0,6.1,-0.36,-5.787781,6.18,5.77,6.22,Quote,,,2026-04-01 20:59:32.087519+00:00,live
,National Bank of Canada,184.31,1535620.0,181.46,4.3,2.388756,184.47,181.4,180.01,Quote,,,2026-04-01 20:59:32.087519+00:00,live
PPL,Pembina Pipeline Corporation,60.76,2079621.0,61.91,-1.51,-2.424924,62.135,60.4,62.27,Quote,,,2026-04-01 20:59:32.087519+00:00,live
GSY,goeasy Ltd.,37.36,749113.0,37.2,-0.87,-2.2757,37.62,33.59,38.23,Quote,,,2026-04-01 20:59:32.087519+00:00,live
ATH,Athabasca Oil Corporation,10.32,6726598.0,10.94,-0.93,-8.266666,11.08,10.22,11.25,Quote,,,2026-04-01 20:59:32.087519+00:00,live
ABX,Barrick Mining Corporation,58.69,7097437.0,58.09,1.84,3.236588,59.27,57.62,56.85,Quote,,,2026-04-01 20:59:32.087519+00:00,live
TRP,TC Energy Corporation,86.43,6966849.0,86.95,-0.68,-0.780622,87.43,85.56,87.11,Quote,,,2026-04-01 20:59:32.087519+00:00,live
SHOP,Shopify Inc. Class A Subordinate Voting Shares,164.7,1386019.0,167.98,-0.36,-0.218103,167.98,161.5,165.06,Quote,,,2026-04-01 20:59:32.087519+00:00,live
CNR,Canadian National Railway Company,143.39,874226.0,143.53,0.21,0.146669,144.94,142.6,143.18,Quote,,,2026-04-01 20:59:32.087519+00:00,live
TOU,Tourmaline Oil Corp.,63.8,2575067.0,66.1,-2.78,-4.175428,66.8,63.05,66.58,Quote,,,2026-04-01 20:59:32.087519+00:00,live
SLF,Sun Life Financial Inc.,87.34,2430568.0,87.58,0.19,0.218015,88.33,87.12,87.15,Quote,,,2026-04-01 20:59:32.087519+00:00,live
AQN,Algonquin Power & Utilities Corp.,8.66,3815960.0,8.67,0.14,1.643193,8.82,8.64,8.52,Quote,,,2026-04-01 20:59:32.087519+00:00,live
AEM,Agnico Eagle Mines Limited,291.97,774980.0,290.99,9.6,3.399795,296.44,285.5,282.37,Quote,,,2026-04-01 20:59:32.087519+00:00,live
WEED,Canopy Growth Corporation,1.36,1299867.0,1.37,0.04,3.030303,1.39,1.32,1.32,Quote,,,2026-04-01 20:59:32.087519+00:00,live
BTO,B2Gold Corp.,6.71,7438474.0,6.53,0.39,6.170886,6.715,6.395,6.32,Quote,,,2026-04-01 20:59:32.087519+00:00,live
MDA,MDA Space Ltd.,36.01,1198860.0,36.5,0.77,2.185017,37.2,35.88,35.24,Quote,,,2026-04-01 20:59:32.087519+00:00,live
ARX,ARC Resources Ltd.,27.12,6384456.0,28.42,-1.83,-6.321243,28.54,26.91,28.95,Quote,,,2026-04-01 20:59:32.087519+00:00,live
TVE,Tamarack Valley Energy Ltd.,10.74,3429984.0,11.1,-0.76,-6.608696,11.28,10.71,11.5,Quote,,,2026-04-01 20:59:32.087519+00:00,live
IVN,Ivanhoe Mines Ltd.,10.51,15384081.0,10.33,-1.38,-11.606392,10.98,10.26,11.89,Quote,,,2026-04-01 20:59:32.087519+00:00,live
CCO,Cameco Corporation,154.42,707674.0,154.52,3.14,2.075621,159.11,154.0,151.28,Quote,,,2026-04-01 20:59:32.087519+00:00,live
POW,Power Corporation of Canada Subordinate Voting Shares,68.22,2712486.0,67.56,1.25,1.866507,68.8,67.04,66.97,Quote,,,2026-04-01 20:59:32.087519+00:00,live
EQX,Equinox Gold Corp.,20.78,3042114.0,20.61,0.69,3.434545,21.215,20.12,20.09,Quote,,,2026-04-01 20:59:32.087519+00:00,live
WELL,WELL Health Technologies Corp.,3.89,1329731.0,3.85,0.05,1.302083,3.91,3.8,3.84,Quote,,,2026-04-01 20:59:32.087519+00:00,live
AYA,Aya Gold & Silver Inc.,22.7,1993766.0,21.96,1.48,6.974552,23.41,21.4,21.22,Quote,,,2026-04-01 20:59:32.087519+00:00,live
ATD,Alimentation Couche-Tard Inc.,78.64,1654156.0,79.7,-0.21,-0.266328,79.7,78.0,78.85,Quote,,,2026-04-01 20:59:32.087519+00:00,live
CJ,Cardinal Energy Ltd.,10.61,2150866.0,11.13,-0.76,-6.684257,11.33,10.55,11.37,Quote,,,2026-04-01 20:59:32.087519+00:00,live
DOL,Dollarama Inc.,171.3,621417.0,173.34,0.57,0.33386,173.34,169.51,170.73,Quote,,,2026-04-01 20:59:32.087519+00:00,live
BB,BlackBerry Limited,4.68,1716591.0,4.56,0.17,3.769401,4.695,4.47,4.51,Quote,,,2026-04-01 20:59:32.087519+00:00,live
BAM,Brookfield Asset Management Ltd. Class A Limited Voting Shares,61.25,1744066.0,62.5,-0.6,-0.970089,62.75,60.74,61.85,Quote,,,2026-04-01 20:59:32.087519+00:00,live
