symbol,longname,price,volume,openPrice,priceChange,percentChange,dayHigh,dayLow,prevClose,typename,timestamp_utc,raw_symbol,patched_from_null,snapshot_type
T,TELUS Corporation,18.04,11162004.0,17.98,-0.04,-0.221239,18.17,17.93,18.08,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
BNS,Bank of Nova Scotia (The),93.61,9515021.0,94.34,-0.89,-0.941799,94.76,92.85,94.5,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
RY,Royal Bank of Canada,218.5,8666892.0,219.61,-1.75,-0.794552,220.8,217.01,220.25,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
BCE,BCE Inc.,35.43,6967400.0,35.17,0.08,0.226308,35.49,35.17,35.35,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
ENB,Enbridge Inc.,73.32,10933390.0,74.11,-0.86,-1.159342,74.82,73.23,74.18,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
TD,Toronto-Dominion Bank (The),126.11,12475525.0,128.6,-2.53,-1.966729,128.75,125.73,128.64,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
CNQ,Canadian Natural Resources Limited,67.39,42640290.0,68.66,-2.11,-3.035971,68.71,67.16,69.5,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
WCP,Whitecap Resources Inc.,14.93,16255448.0,14.98,-0.07,-0.466667,15.1,14.74,15.0,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
BMO,Bank of Montreal,183.59,5577838.0,186.53,-4.04,-2.153174,187.5,182.37,187.63,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
POW,Power Corporation of Canada Subordinate Voting Shares,64.88,8427871.0,64.0,1.05,1.644994,66.445,63.995,63.83,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
CM,Canadian Imperial Bank Of Commerce,129.48,6269485.0,130.96,-1.95,-1.48368,131.44,128.63,131.43,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
MFC,Manulife Financial Corporation,46.45,11301368.0,46.42,-0.12,-0.257677,46.8,46.14,46.57,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
SU,Suncor Energy Inc.,87.49,13765950.0,86.53,0.48,0.551661,88.18,85.87,87.01,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
NA,National Bank of Canada,175.12,6134893.0,177.85,-3.13,-1.755961,178.14,174.15,178.25,Quote,2026-03-22 20:36:45.457803+00:00,,1,live
CVE,Cenovus Energy Inc.,34.48,23391354.0,34.2,0.23,0.671533,34.84,33.77,34.25,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
PPL,Pembina Pipeline Corporation,61.8,5181922.0,61.4,0.47,0.766346,62.05,61.19,61.33,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
HHIS,Harvest Diversified High Income Shares ETF,10.33,896041.0,10.57,-0.28,-2.63902,10.57,10.25,10.61,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
CNR,Canadian National Railway Company,135.45,3593047.0,135.43,-0.67,-0.492213,137.39,134.4,136.12,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
ABX,Barrick Mining Corporation,50.96,14629081.0,52.22,-1.47,-2.803738,52.5,50.1,52.43,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
NTR,Nutrien Ltd.,102.69,4190992.0,104.43,-1.81,-1.732057,104.43,101.76,104.5,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
FTS,Fortis Inc.,75.65,3162930.0,77.23,-1.57,-2.033152,77.72,75.45,77.22,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
AC,Air Canada Voting and Variable Voting Shares,17.34,6683982.0,17.45,-0.14,-0.800915,17.66,17.09,17.48,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
TOU,Tourmaline Oil Corp.,69.52,4909787.0,69.18,0.38,0.549609,70.0,68.41,69.14,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
TRP,TC Energy Corporation,86.9,10271810.0,87.5,-1.28,-1.451576,88.77,86.89,88.18,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
MDA,MDA Space Ltd.,42.98,2662725.0,45.0,-2.15,-4.764015,46.27,42.57,45.13,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
CP,Canadian Pacific Kansas City Limited,107.6,3487857.0,107.37,-0.24,-0.222552,108.59,106.73,107.84,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
AEM,Agnico Eagle Mines Limited,248.3,3539509.0,253.93,-5.11,-2.016495,254.0,241.005,253.41,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
ATD,Alimentation Couche-Tard Inc.,76.17,4270470.0,76.49,-0.36,-0.470404,77.97,75.81,76.53,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
CPX,Capital Power Corporation,61.2,1007329.0,63.0,-2.18,-3.439571,63.52,60.85,63.38,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
ARX,ARC Resources Ltd.,29.12,8414020.0,28.92,0.31,1.076015,29.28,28.72,28.81,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
BAM,Brookfield Asset Management Ltd. Class A Limited Voting Shares,58.97,3964810.0,59.51,-0.71,-1.189678,59.54,58.45,59.68,Quote,2026-03-22 20:36:45.457803+00:00,,0,live
