symbol,longname,price,volume,openPrice,priceChange,percentChange,dayHigh,dayLow,prevClose,__typename,raw_symbol,patched_from_null,timestamp_utc,snapshot_type
X,TMX Group Limited,54.09,530776.0,54.5,-0.47,-0.861437,54.74,53.81,54.56,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
ENB,Enbridge Inc.,72.86,10300100.0,72.0,0.95,1.321096,73.0,71.86,71.91,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
CNQ,Canadian Natural Resources Limited,60.69,13025313.0,61.33,-1.52,-2.443337,61.89,60.47,62.21,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
BCE,BCE Inc.,32.63,2498956.0,32.91,-0.34,-1.03124,32.96,32.485,32.97,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
RY,Royal Bank of Canada,239.83,5173036.0,239.85,0.27,0.112707,241.03,237.5,239.56,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
BNS,Bank of Nova Scotia (The),103.54,3331825.0,102.76,0.82,0.798287,103.92,102.27,102.72,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
TD,Toronto-Dominion Bank (The),143.57,4386819.0,143.72,-0.25,-0.173828,144.3,142.74,143.82,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
BMO,Bank of Montreal,208.04,2617786.0,207.2,0.38,0.182991,209.3,206.0,207.66,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
WCP,Whitecap Resources Inc.,14.77,4744902.0,14.97,-0.32,-2.12061,15.05,14.755,15.09,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
DOL,Dollarama Inc.,169.72,479733.0,170.0,-0.66,-0.387369,170.805,168.59,170.38,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
MFC,Manulife Financial Corporation,52.92,6275102.0,52.83,-0.05,-0.094393,53.32,52.66,52.97,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
CM,Canadian Imperial Bank Of Commerce,149.84,2564549.0,148.39,1.35,0.909152,150.1,148.02,148.49,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
